1851	" "	6	" "	3	" "	1	" "	36	" "	2 (1,3)
1852	" "	5	" "	5	" "	1	" "	73	" "	4 (1,3,1,2)
1853	" "	8	" "	4	" "	2	" "	76	" "	1 (1)
1854	" "	5	" "	3	" "	1	" "	31	" "	3 (1,3,2)
1855	" "	5	" "	4	" "	1	" "	18	" "	1 (3)
1856	" "	6	" "	4	" "	2	" "	49	" "	2 (4,2)
1857	" "	4	" "	3	" "	0	" "	40	" "	1 (2)
1858	" "	6	" "	6	" "	0	" "	45	" "	1 (1)
1859	" "	8	" "	7	" "	1	" "	56	" "	2 (1,1)
1860	" "	7	" "	6	" "	1	" "	62	" "	3 (3,2,2)
1861	" "	8	" "	6	" "	0	" "	50	" "	3 (1,1,1)
1862	" "	6	" "	3	" "	0	" "	46	" "	0
1863	" "	9	" "	5	" "	0	" "	50	" "	0
1864	" "	5	" "	3	" "	0	" "	27	" "	0
1865	" "	7	" "	3	" "	0	" "	49	" "	2 (2,2)
1866	" "	7	" "	6	" "	1	" "	84	" "	1 (2)
1867	" "	9	" "	7	" "	1	" "	60	" "	2 (1,2)
1868	" "	4	" "	3	" "	0	" "	35	" "	0
1869	" "	10	" "	7	" "	1	" "	51	" "	4 (2,1,3,2)
1870	" "	11	" "	10	" "	2	" "	88	" "	3 (1,1,1)
1871	6	8	" "	6	" "	2	" "	88	" "	3 (3,2,1)
1872	5	5	" "	4	" "	0	" "	65	" "	0
1873	5	5	" "	3	" "	2	" "	69	" "	2 (1,3)
1874	7	7	" "	4	" "	0	" "	47	" "	1 (1)
1875	4	6	" "	5	" "	1	" "	72	" "	1 (3)
1876	3	5	" "	4	" "	2	" "	57	" "	2 (1,2)
1877	8	8	" "	3	" "	1	" "	73	" "	2 (1,3)
1878	10	12	" "	10	" "	2	" "	181	" "	2 (2,2)
1879	8	8	" "	6	" "	2	" "	64	" "	3 (3,2,3)
1880	9	11	" "	9	" "	2	" "	131	" "	4 (3,2,1,1)
1881	6	7	" "	4	" "	0	" "	59	" "	2 (2,2)
1882	3	6	" "	4	" "	2	" "	59	" "	2 (3,1)
1883	4	4	" "	3	" "	2	" "	67	" "	1 (2)
1884	3	4	" "	4	" "	1	" "	72	" "	0
1885	8	8	" "	6	" "	0	" "	58	" "	1 (2)
1886	10	12	8	10	0	4	135	166	" "	7 (2,2,2,1,4,1,3)
1887	17	19	10	11	2	2	199	181	" "	4 (1,1,1,1)
1888	9	9	5	6	0	2	93	85	" "	3 (1,3,2)
1889	9	9	5	6	0	0	127	104	" "	1 (1)
1890	1	4	1	2	0	1	24	33	" "	0
1891	11	10	8	7	0	1	165	116	" "	2 (1,1)
1892	9	9	4	5	0	0	121	116	" "	0
1893	12	12	10	10	3	5	267	231	" "	5 (1,3,2,4,3)
1894	6	7	5	5	2	4	133	135	" "	2 (2,3)
1895	6	6	2	2	1	0	85	69	" "	1 (1)
1896	6	7	6	6	2	2	164	136	" "	3 (2,1,3)
1897	5	6	2	3	0	0	52	55	" "	1 (1)
1898	9	11	4	5	0	1	114	113	" "	3 (1,1,4)
1899	6	10	5	5	3	2	130	151	2 (3,3)	3 (2,3,2)
1900	7	7	3	3	2	2	81	83	1 (4)	1 (4)
1901	10	13	3	6	1	0	99	99	2 (1,2)	2 (1,1)
1902	5	5	3	3	0	0	37	33	0	0
1903	9	10	8	7	1	1	117	102	2 (2,1)	2 (1,1)
1904	5	6	2	4	0	0	30	30	1 (1)	2 (1,1)
1905	5	5	1	1	0	1	25	28	0	0
1906	11	11	6	6	4	3	170	163	4 (1,3,3,2)	4 (1,1,2,3)
1907	4	5	0	0	0	0	11	13	0	0
1908	8	10	5	6	1	1	80	95	1 (1)	1 (1)
1909	10	12	4	6	4	4	111	93	4 (3,2,4,3)	5 (2,3,1,3,3)
1910	4	5	3	3	3	1	78	64	2 (2,3)	2 (2,2)
1911	4	6	3	3	0	0	36	35	2 (1,2)	2 (1,2)
1912	6	7	4	4	1	1	74	57	2 (1,1)	2 (1,2)
1913	4	6	3	4	0	0	43	36	2 (1,1)	3 (1,1,1)
1914	1	1	0	0	0	0	3	3	0	0
1915	5	6	4	5	3	3	118	130	3 (4,1,4)	4 (1,4,1,3)
1916	14	15	11	10	6	5	177	144	6 (3,1,1,3,2,1)	4 (3,2,4,2)
1917	3	4	2	2	2	2	52	61	1 (3)	1 (3)
1918	5	6	3	4	0	1	29	40	1 (3)	2 (3,1)
1919	3	5	1	2	1	1	48	55	1 (4)	1 (4)
1920	4	5	4	4	0	0	31	30	2 (2,1)	1 (2)
1921	6	7	4	5	2	2	75	87	2 (2,3)	2 (1,3)
1922	4	5	2	3	1	1	58	55	0	0
1923	7	9	3	4	1	1	54	49	1 (1)	1 (1)
1924	8	11	5	5	2	2	89	100	2 (1,1)	3 (1,1,1)
1925	2	4	1	1	1	0	7	7	1 (1)	0
1926	11	11	8	8	6	6	222	230	3 (2,3,4)	4 (2,3,4,1)
1927	7	8	4	4	2	1	56	56	0	0
1928	6	6	4	4	1	1	75	83	2 (2,4)	2 (2,4)
1929	3	5	3	3	1	1	43	48	2 (1,3)	2 (1,3)
1930	2	3	2	2	1	2	39	50	0	0
1931	9	13	2	3	1	1	39	48	0	0
1932	11	15	6	6	4	4	136	170	2 (4,1)	2 (4,1)
1933	21	20	10	11	5	6	213	259	5 (2,2,3,3,3)	5 (1,1,3,3,2)
1934	11	13	6	7	0	1	60	48	2 (3,2)	3 (2,1,1)
1935	6	8	5	5	3	3	95	106	2 (5,2)	2 (5,2)
1936	16	17	7	7	1	1	108	100	3 (1,3,2)	3 (1,2,1)
1937	9	11	3	4	0	1	61	66	0	0
1938	8	9	3	4	1	2	73	78	2 (1,3)	2 (1,3)
1939	5	6	3	3	1	1	34	34	1 (1)	1 (1)
1940	8	9	4	6	0	0	52	68	2 (2,2)	2 (2,2)
1941	6	6	4	4	2	3	61	52	2 (3,2)	2 (3,2)
1942	10	11	4	4	1	1	66	63	2 (1,3)	2 (1,3)
1943	10	10	5	5	2	2	94	94	1 (2)	1 (2)
1944	11	14	7	8	3	3	96	104	3 (1,3,3)	3 (1,2,3)
1945	11	11	5	5	3	2	67	63	3 (1,2,3)	3 (1,3,4)
1946	6	7	3	3	1	0	22	20	1 (1)	1 (1)
1947	9	10	5	5	2	2	112	88	3 (1,4,2)	3 (1,4,2)
